name,country_code,currency_code,currency_symbol,is_deleted
Afghanistan,93,AFN,؋,0
Albania,355,ALL,L,0
Algeria,213,DZD,د.ج,0
American Samoa,1-684,USD,$,0
Andorra,376,EUR,€,0
Angola,244,AOA,Kz,0
Anguilla,1-264,XCD,$,0
Antarctica,672,AUD,$,0
Antigua and Barbuda,1-268,XCD,$,0
Argentina,54,ARS,$,0
Armenia,374,AMD,֏,0
Aruba,297,AWG,ƒ,0
Australia,61,AUD,$,0
Austria,43,EUR,€,0
Azerbaijan,994,AZN,₼,0
Bahamas,1-242,BSD,$,0
Bahrain,973,BHD,.د.ب,0
Bangladesh,880,BDT,৳,0
Barbados,1-246,BBD,$,0
Belarus,375,BYN,Br,0
Belgium,32,EUR,€,0
Belize,501,BZD,$,0
Benin,229,XOF,Fr,0
Bermuda,1-441,BMD,$,0
Bhutan,975,BTN,Nu.,0
Bolivia,591,BOB,Bs.,0
Bosnia and Herzegovina,387,BAM,KM,0
Botswana,267,BWP,P,0
Brazil,55,BRL,R$,0
British Indian Ocean Territory,246,USD,$,0
British Virgin Islands,1-284,USD,$,0
Brunei,673,BND,$,0
Bulgaria,359,BGN,лв,0
Burkina Faso,226,XOF,Fr,0
Burundi,257,BIF,Fr,0
Cambodia,855,KHR,៛,0
Cameroon,237,XAF,Fr,0
Canada,1,CAD,$,0
Cape Verde,238,CVE,$,0
Cayman Islands,1-345,KYD,$,0
Central African Republic,236,XAF,Fr,0
Chad,235,XAF,Fr,0
Chile,56,CLP,$,0
China,86,CNY,¥,0
Christmas Island,61,AUD,$,0
Cocos Islands,61,AUD,$,0
Colombia,57,COP,$,0
Comoros,269,KMF,Fr,0
Cook Islands,682,NZD,$,0
Costa Rica,506,CRC,₡,0
Croatia,385,EUR,€,0
Cuba,53,CUP,$,0
Curacao,599,ANG,ƒ,0
Cyprus,357,EUR,€,0
Czech Republic,420,CZK,Kč,0
Democratic Republic of the Congo,243,CDF,Fr,0
Denmark,45,DKK,kr,0
Djibouti,253,DJF,Fr,0
Dominica,1-767,XCD,$,0
Dominican Republic,1-809,DOP,$,0
East Timor,670,USD,$,0
Ecuador,593,USD,$,0
Egypt,20,EGP,£,0
El Salvador,503,USD,$,0
Equatorial Guinea,240,XAF,Fr,0
Eritrea,291,ERN,Nfk,0
Estonia,372,EUR,€,0
Ethiopia,251,ETB,Br,0
Falkland Islands,500,FKP,£,0
Faroe Islands,298,DKK,kr,0
Fiji,679,FJD,$,0
Finland,358,EUR,€,0
France,33,EUR,€,0
French Polynesia,689,XPF,Fr,0
Gabon,241,XAF,Fr,0
Gambia,220,GMD,D,0
Georgia,995,GEL,₾,0
Germany,49,EUR,€,0
Ghana,233,GHS,₵,0
Gibraltar,350,GIP,£,0
Greece,30,EUR,€,0
Greenland,299,DKK,kr,0
Grenada,1-473,XCD,$,0
Guam,1-671,USD,$,0
Guatemala,502,GTQ,Q,0
Guernsey,44-1481,GBP,£,0
Guinea,224,GNF,Fr,0
Guinea-Bissau,245,XOF,Fr,0
Guyana,592,GYD,$,0
Haiti,509,HTG,G,0
Honduras,504,HNL,L,0
